experiment,nodes,edges,algorithm,iterations,runtime_sec,components,clusters,inter_edges
random_graph,50,100,Basic,5,5.903,1,,
random_graph,50,100,SecondarySort,5,5.057,1,,
random_graph,100,300,Basic,5,5.087,1,,
random_graph,100,300,SecondarySort,5,5.232,1,,
random_graph,500,1500,Basic,6,5.288,1,,
random_graph,500,1500,SecondarySort,6,5.67,1,,
random_graph,1000,3000,Basic,6,6.887,1,,
random_graph,1000,3000,SecondarySort,6,6.255,1,,
random_graph,2000,6000,Basic,6,6.671,1,,
random_graph,2000,6000,SecondarySort,6,5.76,1,,
random_graph,5000,15000,Basic,6,6.578,1,,
random_graph,5000,15000,SecondarySort,6,6.777,1,,
chain_graph,10,9,Basic,6,6.206,1,,
chain_graph,10,9,SecondarySort,6,5.641,1,,
chain_graph,50,49,Basic,8,7.785,1,,
chain_graph,50,49,SecondarySort,8,7.741,1,,
chain_graph,100,99,Basic,9,9.397,1,,
chain_graph,100,99,SecondarySort,9,9.17,1,,
chain_graph,200,199,Basic,10,10.089,1,,
chain_graph,200,199,SecondarySort,10,11.011,1,,
chain_graph,500,499,Basic,12,13.192,1,,
chain_graph,500,499,SecondarySort,12,17.752,1,,
cluster_graph,100,185,Basic,6,7.685,5,5,0
cluster_graph,100,185,SecondarySort,6,6.073,5,5,0
cluster_graph,100,189,Basic,7,6.979,2,5,4
cluster_graph,100,189,SecondarySort,7,6.745,2,5,4
cluster_graph,500,970,Basic,7,7.341,10,10,0
cluster_graph,500,970,SecondarySort,7,7.338,10,10,0
cluster_graph,500,979,Basic,9,8.552,4,10,9
cluster_graph,500,979,SecondarySort,9,10.194,4,10,9
cluster_graph,1000,1940,Basic,7,6.987,20,20,0
cluster_graph,1000,1940,SecondarySort,7,7.756,20,20,0
cluster_graph,1000,1959,Basic,11,10.596,4,20,19
cluster_graph,1000,1959,SecondarySort,11,10.121,4,20,19
