experiment,nodes,edges,algorithm,iterations,runtime_sec,components,clusters,inter_edges
random_graph,50,100,Basic,5,1.639,1,0,0
random_graph,50,100,SecondarySort,5,0.456,1,0,0
random_graph,100,300,Basic,5,0.475,1,0,0
random_graph,100,300,SecondarySort,5,0.393,1,0,0
random_graph,500,1500,Basic,5,0.7,1,0,0
random_graph,500,1500,SecondarySort,5,0.595,1,0,0
random_graph,1000,3000,Basic,5,0.454,1,0,0
random_graph,1000,3000,SecondarySort,5,0.417,1,0,0
random_graph,2000,6000,Basic,6,0.611,1,0,0
random_graph,2000,6000,SecondarySort,6,0.608,1,0,0
random_graph,5000,15000,Basic,6,0.838,1,0,0
random_graph,5000,15000,SecondarySort,6,0.775,1,0,0
chain_graph,10,9,Basic,6,0.215,1,0,0
chain_graph,10,9,SecondarySort,6,0.187,1,0,0
chain_graph,50,49,Basic,8,0.313,1,0,0
chain_graph,50,49,SecondarySort,8,0.302,1,0,0
chain_graph,100,99,Basic,9,0.401,1,0,0
chain_graph,100,99,SecondarySort,9,0.39,1,0,0
chain_graph,200,199,Basic,10,0.512,1,0,0
chain_graph,200,199,SecondarySort,10,0.511,1,0,0
chain_graph,500,499,Basic,12,1.255,1,0,0
chain_graph,500,499,SecondarySort,12,1.257,1,0,0
cluster_graph,100,185,Basic,6,0.213,5,5,0
cluster_graph,100,185,SecondarySort,6,0.208,5,5,0
cluster_graph,100,189,Basic,8,0.267,1,5,4
cluster_graph,100,189,SecondarySort,8,0.263,1,5,4
cluster_graph,500,970,Basic,7,0.466,10,10,0
cluster_graph,500,970,SecondarySort,7,0.451,10,10,0
cluster_graph,500,979,Basic,9,0.569,3,10,9
cluster_graph,500,979,SecondarySort,9,0.531,3,10,9
cluster_graph,1000,1940,Basic,7,0.56,20,20,0
cluster_graph,1000,1940,SecondarySort,7,0.595,20,20,0
cluster_graph,1000,1959,Basic,10,0.698,4,20,19
cluster_graph,1000,1959,SecondarySort,10,0.877,4,20,19
